origin_user,origin,destination,flight_type,travel_date,overall_rating,review_text
"Santiago, Chile",Florence,Madrid,Europe,febrero de 2026,2,"Fue muy malo la verdad , se atrasaron 3hrs y solo nos dieron una disculpa y un ticket con 8 euros , éramos 3 personas entonces no era nada para nosotros , no vuelen en ella , también hacen overbooking , solo felicito a el piloto por que sabía 3 idiomas"
"Pamplona, España",Bilbao,London,Europe,marzo de 2026,5,"Muy puntuales, el personal muy amable y los vuelos (ida y vuelta) una maravilla. Al ir en primera fila, íbamos muy cómodas y tanto los embarques como desembarques, muy ordenados."
"Palma de Mallorca, España",Palma de Mallorca,Grand Island,International,marzo de 2026,5,"Buenos días. Como pasajera con miedo a volar, quería agradecer enormemente la atención que recibí por parte de la compañía, en todo momento estuvieron pendientes de mi y tuve la gran suerte de conocer a Carolina y Alex Espinosa, que hicieron que la experiencia tanto de ida como de vuelta hiciera que pudiera ir tranquila. Sin duda volveré a volar con vosotros y espero poder coincidir nuevamente con el equipo. Un saludo. Victoria"
Desconocido,Barcelona,Paris,Europe,febrero de 2026,5,Un dia viaje paris orly el personal muy amable quiero agradecer al personal de el vuelo de las 9 y 25 de la mañana de el 21 de febrero mucho mas a el piloto que cuando vio que yo soy un apasionada por volar me dejo ver la cabina
Desconocido,Milan,Barcelona,Europe,marzo de 2026,1,"Para variar sale tarde, pero encima crean un caos en el embarque que no se evita solo por dejadez. Las que hacen el embarque dejando que todo el mundo se cuele, no se respetan los grupos, primero juntan los grupos 1y2, pero luego solo dejan embarcar el 1 con el consiguiente tapón de gente del grupo 2 .. Un desastre por pasar olímpicamente de los pasajeros"
